11/05/2023,BUS/MRT 264154935      SINGAPORE     SGP 03/05/2023 •••• •••• •••• 4999 -2.18 SGD,-2.18
10/05/2023,CHINATOWN TEH TARIK    SINGAPORE     065 09/05/2023 •••• •••• •••• 4999 -11.40 SGD,-11.40
10/05/2023,7-ELEVEN-WATERMARK@ROB SINGAPORE     SGP 09/05/2023 •••• •••• •••• 4999 -3.20 SGD,-3.20
10/05/2023,URBAN ROTI             SINGAPORE     SGP 09/05/2023 •••• •••• •••• 4999 -30.85 SGD,-30.85
09/05/2023,MUCHACHOS - FRASERS    SINGAPORE     065 08/05/2023 •••• •••• •••• 4999 -14.00 SGD,-14.00
09/05/2023,GIGA                   68255000      SGP 08/05/2023 •••• •••• •••• 4999 -3.93 SGD,-3.93
09/05/2023,Grab* A-4TGHJBEWWI8S   Singapore     SGP 08/05/2023 •••• •••• •••• 4999 -10.80 SGD,-10.80
09/05/2023,FOODJUNCTION           SINGAPORE     SGP 07/05/2023 •••• •••• •••• 4999 -3.10 SGD,-3.10
08/05/2023,"GRAB* 9E923EC21C8BBE42 SINGAPORE     SGP 07/05/2023 •••• •••• •••• 1476 -1,200.00 SGD","-1,200.00"
08/05/2023,LAZADA SINGAPORE       SINGAPORE     SGP 07/05/2023 •••• •••• •••• 1476 -982.46 SGD,-982.46
08/05/2023,Grab* A-4TBBEGGWWGJH   Singapore     SGP 07/05/2023 •••• •••• •••• 4999 -8.20 SGD,-8.20
08/05/2023,Grab* A-4TAOE4IWWHC4   Singapore     SGP 07/05/2023 •••• •••• •••• 4999 -9.60 SGD,-9.60
08/05/2023,SUBWAY - MARINA SQUARE SINGAPORE     065 06/05/2023 •••• •••• •••• 4999 -12.50 SGD,-12.50
08/05/2023,BUDDHATOOTHRELICTEMPLE SINGAPORE 058 SGP 06/05/2023 •••• •••• •••• 1476 -10.00 SGD,-10.00
08/05/2023,JEN SINGAPORE TANGLIN  SINGAPORE     SGP 06/05/2023 •••• •••• •••• 4999 -45.15 SGD,-45.15
08/05/2023,RISIS @ NOG TICKETING  SINGAPORE     SGP 06/05/2023 •••• •••• •••• 4999 -20.00 SGD,-20.00
08/05/2023,STARBUCKS@TANGLIN3(TG) SINGAPORE     SGP 06/05/2023 •••• •••• •••• 4999 -13.70 SGD,-13.70
08/05/2023,HARVEY NORMAN-MILLENIA SINGAPORE     SGP 06/05/2023 •••• •••• •••• 1476 -400.00 SGD,-400.00
